Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Mieszana,Podrażnienie,Brak,0,21,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Paula's Choice - Calm - Repairing Serum - Łagodząco-Nawilżające Serum,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maska Glinkowa Ziaja,Brak
Sucha,Szara cera,Suche skórki,1,23,FLUFF Superfood myjący mus do twarzy,MIYA Serum z witaminą C na przebarwienia,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF54,Bielenda Hydra Boost nawilżające serum do twarzy,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Suche skórki,1,25,BIELENDA CBD Cannabidiol,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,CeraVe Nawilżający Krem do Twarzy,Holika Holika Aloe Waterproof Sun Gel SPF50+ żel przeciwsłoneczny,HELLO BODY Coco Dream Regenerujące serum,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Szara cera,Przebarwienia,1,29,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HELLO BODY Coco Dream Regenerujące serum,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Niedoskonałości,Suche skórki,0,23,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Acnederm,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Brak,0,23,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HELLO BODY Coco Dream Regenerujące serum,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Nadprodukcja sebum,Podrażnienie,0,29,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maska Glinkowa Ziaja,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Brak,1,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Niedoskonałości,Podrażnienie,1,23,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,BIELENDA Blue Matcha krem-żel,Acnederm,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Normalna,Niedoskonałości,Niedoskonałości,1,21,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Tłusta,Niedoskonałości,Brak,0,23,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,MIYA Serum z witaminą C na przebarwienia,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Podrażnienie,Brak,1,33,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Tołpa - Authentic - Krem Matowa Skóra,La Roche-Posay Anthelios XL SPF50+,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Acnederm,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Sucha,Widoczne naczynka,Brak,0,28,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Podrażnienie,0,20,Żel Tołpa Dermo Face Physio,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,Yves Rocher Riche Créme intensywny krem ??regenerujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Maść z witaminą A,Maska Glinkowa Ziaja,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Szara cera,Suche skórki,1,25,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Tołpa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Podrażnienie,Brak,1,18,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Lvl Serum z Witaminą C 15%,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Sensifine AR,Naklejki na krostki z Selfie Project,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
Sucha,Widoczne naczynka,Przebarwienia,0,21,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Level Serum Ceramidy 5%,SunewMed+ Vitamin C,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Brak
Sucha,Podrażnienie,Szara cera,1,23,La Roche Posay Effaclar żel oczyszczający,Nacomi Next Lvl Serum z Witaminą C 15%,FaceBoom Hydro Krem Nawilżająco-Kojący na Dzień i Noc,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Tołpa Authentic Nawilżona Skóra,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,APIS Maska Ściągająco-Wygładzająca z Białą Glinką i Cynkiem,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Niedoskonałości,Suche skórki,0,26,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HELLO BODY Coco Dream Regenerujące serum,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Nadprodukcja sebum,0,24,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Nivea Soft Krem Intensywnie Nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Tłusta,Nadprodukcja sebum,Przebarwienia,0,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,La Roche-Posay Anthelios XL SPF50+,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Nadprodukcja sebum,Podrażnienie,1,16,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Normalna,Szara cera,Brak,0,19,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Nadprodukcja sebum,Brak,0,22,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Szara cera,Brak,0,29,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Szara cera,1,20,CeraVe Wygładzający Żel do Mycia,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Miya Cosmetics Beauty.Lab Serum z prebiotykami do skóry problematycznej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Przebarwienia,Podrażnienie,0,23,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BIELENDA Blue Matcha krem-żel,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Podrażnienie,Niedoskonałości,1,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",BIELENDA Blue Matcha krem-żel,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,Nadprodukcja sebum,Suche skórki,0,30,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Brak
Sucha,Niedoskonałości,Suche skórki,0,28,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,CeraVe Nawilżający Krem do Twarzy,Pasta Cynkowa,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Niedoskonałości,Niedoskonałości,1,29,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,Nadprodukcja sebum,Rozszerzone pory,1,22,Neutrogena Visibly Clear Clear & Defend Facial Wash,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Sucha,Przebarwienia,Brak,1,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Widoczne naczynka,Brak,0,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Sunewmed Essence+ Aktywator Pod Krem I Oczy,CeraVe Nawilżający Krem do Twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,Nadprodukcja sebum,Przebarwienia,1,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Nacomi Next Level Serum Ceramidy 5%,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,TOŁPA DERMO FACE STREFA T nawilżające serum-booster,Yope Moon SPA krem do twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Przebarwienia,Brak,0,26,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,HELLO BODY Coco Dream Regenerujące serum,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Niedoskonałości,Szara cera,1,16,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",HELLO BODY Coco Dream Regenerujące serum,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Niedoskonałości,Suche skórki,0,19,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maska Glinkowa Ziaja,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Sucha,Niedoskonałości,Suche skórki,1,28,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Nacomi Next Level Serum Ceramidy 5%,Tołpa - Authentic - Krem Matowa Skóra,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Yope Moon SPA krem do twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Brak
Sucha,Przebarwienia,Nadprodukcja sebum,0,26,CeraVe Wygładzający Żel do Mycia,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Niedoskonałości,Suche skórki,1,34,FLUFF Superfood nawilżająca emulsja do mycia twarzy,Basiclab serum antyoksydacyjne witamina C 15%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Maść Ichtiolowa,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Miya myBEUTYpeeling Peeling Enzymatyczny
Sucha,Niedoskonałości,Brak,0,18,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,MIYA Serum z witaminą C na przebarwienia,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Suche skórki,1,25,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,CeraVe Nawilżający Krem do Twarzy,Naklejki na krostki z Selfie Project,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
